,Words,No. of occurrence
0,B,360
1,BEGIN,5
2,PRIVACY,2
3,ENHANCED,2
4,MESSAGE,2
5,NPROC,1
6,TYPE,42
7,MIC,1
8,CLEAR,11
9,NORIGINATOR,18
10,NAME,87
11,WEBMASTER,1
12,WWW,1
13,SEC,170
14,GOV,1
15,KEY,12
16,ASYMMETRIC,1
17,N,12077
18,MFGWCGYEVQGBAQICAF,1
19,DSGAWRWJAW,1
20,SNKK,1
21,AVTBZYZMR,1
22,AGJLWYK,1
23,XMZV,1
24,DTINEN,1
25,TWSM,1
26,VRZLADBMYQAIONWG,1
27,SDW,1
28,P,43
29,OAM,1
30,D,184
31,TDEZXMM,1
32,Z,10
33,T,97
34,TWIDAQAB,1
35,NMIC,1
36,INFO,1
37,RSA,2
38,MD,1
39,EVPDKFNJZBIJWKEK,1
40,RGNCK,1
41,QXOMHPN,1
42,LDWL,1
43,XTT,1
44,XBUAZK,1
45,AYYRSXLQBYIQR,1
46,V,54
47,QRYTGPE,1
48,PFVT,1
49,DB,1
50,Q,16
51,DOCUMENT,59
52,TXT,1
53,HEADER,2
54,HDR,1
55,SGML,1
56,NACCESSION,1
57,NUMBER,104
58,NCONFORMED,2
59,SUBMISSION,4
60,K,57
61,NPUBLIC,2
62,COUNT,2
63,PERIOD,255
64,OF,8176
65,REPORT,52
66,NFILED,15
67,AS,1680
68,DATE,635
69,NSROS,1
70,TNYSE,1
71,NFILER,1
72,TCOMPANY,2
73,DATA,26
74,CONFORMED,2
75,TSUNBEAM,2
76,CORP,31
77,FL,6
78,TCENTRAL,1
79,INDEX,4
80,TSTANDARD,1
81,INDUSTRIAL,3
82,CLASSIFICATION,1
83,TELECTRIC,1
84,HOUSEWARES,1
85,FANS,1
86,TIRS,1
87,TSTATE,3
88,INCORPORATION,65
89,TDE,1
90,TFISCAL,1
91,YEAR,163
92,END,49
93,TFILING,1
94,VALUES,3
95,TFORM,1
96,TSEC,2
97,ACT,201
98,FILE,26
99,TFILM,1
100,TBUSINESS,2
101,ADDRESS,27
102,TSTREET,4
103,SOUTH,10
104,CONGRESS,13
105,AVENUE,20
106,TSUITE,2
107,TCITY,2
108,TDELRAY,2
109,BEACH,25
110,TFL,2
111,TZIP,2
112,PHONE,1
113,TMAIL,1
114,TFORMER,2
115,COMPANY,2339
116,OSTER,12
117,INC,121
118,DE,6
119,TDATE,1
120,CHANGE,96
121,SEQUENCE,21
122,TEXT,43
123,UNITED,60
124,STATES,62
125,SECURITIES,187
126,AND,4992
127,EXCHANGE,169
128,COMMISSION,36
129,WASHINGTON,1
130,C,376
131,FORM,80
